1.0,0.0,0.0,1.0,0.0,1.0,0.0,89.0,154.0,75.0,0.4955440180444808,-0.64022045018728,0.5869871389922678,2.3958793173135096
0,0,1,0,1,1,0,97,159,65,0.5165283175507968,-0.6246928205358778,0.5856256288270456,2.4986233072311053
1,0,0,1,0,1,0,124,137,87,-0.5675125750500014,0.6195263349228978,-0.5423251768976968,2.5132506919847684
0,0,0,1,0,1,0,135,138,94,0.5446888018979993,-0.5976279687805303,0.5883493180230429,2.6430265389401413
1,0,1,0,0,1,0,3,130,121,0.533333625191155,0.5811876734724868,-0.6146349586901956,2.5696486153055424
1,0,0,1,0,1,0,111,146,80,-0.5609928910468667,0.5957593628653195,-0.5747675684597966,2.7292040510829376
0,0,0,1,0,1,0,20,157,85,0.5423020785547236,0.5913629232005769,-0.596823549015029,2.684658200222922
0,0,1,0,0,0,1,107,146,99,0.3315134085554815,-0.6921016709769875,0.6411662319389474,1.9154017393720855
1,0,0,1,0,1,0,117,136,86,0.5504383025562403,-0.5980938850671069,0.5824958194908689,2.739207542230043
0,0,1,0,0,0,1,91,147,81,-0.4758081024671094,0.656525354003816,-0.5853042876801885,2.230346377781998
